LAUS Code,State FIPS Code,County FIPS Code,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%),County Name/State Abbreviation,State
CN0201300000000,2,13,2018,"2,321","2,252",69,3,Aleutians East Borough, AK
CN0201600000000,2,16,2018,"3,615","3,487",128,3.5,Aleutians West Census Area, AK
CN0202000000000,2,20,2018,"151,950","143,602","8,348",5.5,Anchorage Borough/municipality, AK
CN0205000000000,2,50,2018,"7,400","6,455",945,12.8,Bethel Census Area, AK
CN0206000000000,2,60,2018,441,413,28,6.3,Bristol Bay Borough, AK
CN0206800000000,2,68,2018,"1,088","1,003",85,7.8,Denali Borough, AK
CN0207000000000,2,70,2018,"2,027","1,861",166,8.2,Dillingham Census Area, AK
CN0209000000000,2,90,2018,"46,101","43,426","2,675",5.8,Fairbanks North Star Borough, AK
CN0210000000000,2,100,2018,"1,092",988,104,9.5,Haines Borough, AK
CN0210500000000,2,105,2018,"1,158","1,012",146,12.6,Hoonah-Angoon Census Area, AK
CN0211000000000,2,110,2018,"17,232","16,470",762,4.4,Juneau Borough/city, AK
CN0212200000000,2,122,2018,"26,497","24,453","2,044",7.7,Kenai Peninsula Borough, AK
CN0213000000000,2,130,2018,"7,026","6,604",422,6,Ketchikan Gateway Borough, AK
CN0215000000000,2,150,2018,"6,210","5,848",362,5.8,Kodiak Island Borough, AK
CN0215800000000,2,158,2018,"2,708","2,169",539,19.9,Kusilvak Census Area, AK
CN0216400000000,2,164,2018,739,653,86,11.6,Lake and Peninsula Borough, AK
CN0217000000000,2,170,2018,"47,654","44,014","3,640",7.6,Matanuska-Susitna Borough, AK
CN0218000000000,2,180,2018,"4,113","3,636",477,11.6,Nome Census Area, AK
CN0218500000000,2,185,2018,"3,413","3,173",240,7,North Slope Borough, AK
CN0218800000000,2,188,2018,"2,924","2,508",416,14.2,Northwest Arctic Borough, AK
CN0219500000000,2,195,2018,"1,404","1,282",122,8.7,Petersburg Borough, AK
CN0219800000000,2,198,2018,"2,899","2,584",315,10.9,Prince of Wales-Hyder Census Area, AK
CN0222000000000,2,220,2018,"4,408","4,225",183,4.2,Sitka Borough/city, AK
CN0223000000000,2,230,2018,836,754,82,9.8,Skagway Municipality, AK
CN0224000000000,2,240,2018,"2,940","2,658",282,9.6,Southeast Fairbanks Census Area, AK
CN0226100000000,2,261,2018,"4,849","4,488",361,7.4,Valdez-Cordova Census Area, AK
CN0227500000000,2,275,2018,"1,051",977,74,7,Wrangell Borough/city, AK
CN0228200000000,2,282,2018,245,225,20,8.2,Yakutat Borough/city, AK
CN0229000000000,2,290,2018,"2,545","2,156",389,15.3,Yukon-Koyukuk Census Area, AK
CN0100100000000,1,1,2018,"25,957","25,015",942,3.6,Autauga County, AL
CN0100300000000,1,3,2018,"93,849","90,456","3,393",3.6,Baldwin County, AL
CN0100500000000,1,5,2018,"8,373","7,940",433,5.2,Barbour County, AL
CN0100700000000,1,7,2018,"8,661","8,317",344,4,Bibb County, AL
CN0100900000000,1,9,2018,"25,006","24,128",878,3.5,Blount County, AL
CN0101100000000,1,11,2018,"4,776","4,552",224,4.7,Bullock County, AL
CN0101300000000,1,13,2018,"8,914","8,487",427,4.8,Butler County, AL
CN0101500000000,1,15,2018,"45,972","43,833","2,139",4.7,Calhoun County, AL
CN0101700000000,1,17,2018,"15,276","14,679",597,3.9,Chambers County, AL
CN0101900000000,1,19,2018,"11,622","11,207",415,3.6,Cherokee County, AL
CN0102100000000,1,21,2018,"19,476","18,773",703,3.6,Chilton County, AL
CN0102300000000,1,23,2018,"4,694","4,434",260,5.5,Choctaw County, AL
CN0102500000000,1,25,2018,"7,627","7,057",570,7.5,Clarke County, AL
CN0102700000000,1,27,2018,"5,963","5,730",233,3.9,Clay County, AL
CN0102900000000,1,29,2018,"5,743","5,499",244,4.2,Cleburne County, AL
CN0103100000000,1,31,2018,"20,817","19,995",822,3.9,Coffee County, AL
CN0103300000000,1,33,2018,"23,258","22,184","1,074",4.6,Colbert County, AL
CN0103500000000,1,35,2018,"4,494","4,259",235,5.2,Conecuh County, AL
CN0103700000000,1,37,2018,"4,376","4,193",183,4.2,Coosa County, AL
CN0103900000000,1,39,2018,"15,617","14,902",715,4.6,Covington County, AL
CN0104100000000,1,41,2018,"6,298","6,041",257,4.1,Crenshaw County, AL
CN0104300000000,1,43,2018,"37,830","36,589","1,241",3.3,Cullman County, AL
CN0104500000000,1,45,2018,"20,120","19,274",846,4.2,Dale County, AL
CN0104700000000,1,47,2018,"14,860","13,887",973,6.5,Dallas County, AL
CN0104900000000,1,49,2018,"30,129","28,979","1,150",3.8,DeKalb County, AL
CN0105100000000,1,51,2018,"37,215","35,932","1,283",3.4,Elmore County, AL
CN0105300000000,1,53,2018,"14,352","13,696",656,4.6,Escambia County, AL
CN0105500000000,1,55,2018,"43,096","41,328","1,768",4.1,Etowah County, AL
CN0105700000000,1,57,2018,"6,482","6,215",267,4.1,Fayette County, AL
CN0105900000000,1,59,2018,"14,203","13,673",530,3.7,Franklin County, AL
CN0106100000000,1,61,2018,"10,851","10,425",426,3.9,Geneva County, AL
CN0106300000000,1,63,2018,"2,838","2,647",191,6.7,Greene County, AL
CN0106500000000,1,65,2018,"5,991","5,686",305,5.1,Hale County, AL
CN0106700000000,1,67,2018,"6,766","6,466",300,4.4,Henry County, AL
CN0106900000000,1,69,2018,"45,150","43,325","1,825",4,Houston County, AL
CN0107100000000,1,71,2018,"23,241","22,286",955,4.1,Jackson County, AL
CN0107300000000,1,73,2018,"314,014","302,359","11,655",3.7,Jefferson County, AL
CN0107500000000,1,75,2018,"5,721","5,503",218,3.8,Lamar County, AL
CN0107700000000,1,77,2018,"42,141","40,375","1,766",4.2,Lauderdale County, AL
CN0107900000000,1,79,2018,"13,919","13,336",583,4.2,Lawrence County, AL
CN0108100000000,1,81,2018,"74,654","71,951","2,703",3.6,Lee County, AL
CN0108300000000,1,83,2018,"42,393","40,890","1,503",3.5,Limestone County, AL
CN0108500000000,1,85,2018,"3,625","3,360",265,7.3,Lowndes County, AL
CN0108700000000,1,87,2018,"7,816","7,389",427,5.5,Macon County, AL
CN0108900000000,1,89,2018,"179,752","173,532","6,220",3.5,Madison County, AL
CN0109100000000,1,91,2018,"7,589","7,209",380,5,Marengo County, AL
CN0109300000000,1,93,2018,"12,549","12,036",513,4.1,Marion County, AL
CN0109500000000,1,95,2018,"42,598","41,157","1,441",3.4,Marshall County, AL
CN0109700000000,1,97,2018,"187,406","178,608","8,798",4.7,Mobile County, AL
CN0109900000000,1,99,2018,"7,158","6,716",442,6.2,Monroe County, AL
CN0110100000000,1,101,2018,"105,579","101,360","4,219",4,Montgomery County, AL
CN0110300000000,1,103,2018,"56,339","54,356","1,983",3.5,Morgan County, AL
CN0110500000000,1,105,2018,"3,397","3,175",222,6.5,Perry County, AL
CN0110700000000,1,107,2018,"7,805","7,449",356,4.6,Pickens County, AL
CN0110900000000,1,109,2018,"15,230","14,544",686,4.5,Pike County, AL
CN0111100000000,1,111,2018,"9,538","9,155",383,4,Randolph County, AL
CN0111300000000,1,113,2018,"23,753","22,798",955,4,Russell County, AL
CN0111500000000,1,115,2018,"39,683","38,296","1,387",3.5,St. Clair County, AL
CN0111700000000,1,117,2018,"112,891","109,672","3,219",2.9,Shelby County, AL
CN0111900000000,1,119,2018,"4,768","4,487",281,5.9,Sumter County, AL
CN0112100000000,1,121,2018,"34,978","33,481","1,497",4.3,Talladega County, AL
CN0112300000000,1,123,2018,"17,772","17,028",744,4.2,Tallapoosa County, AL
CN0112500000000,1,125,2018,"101,569","97,855","3,714",3.7,Tuscaloosa County, AL
CN0112700000000,1,127,2018,"25,132","24,064","1,068",4.2,Walker County, AL
CN0112900000000,1,129,2018,"6,667","6,278",389,5.8,Washington County, AL
CN0113100000000,1,131,2018,"2,734","2,472",262,9.6,Wilcox County, AL
CN0113300000000,1,133,2018,"9,781","9,371",410,4.2,Winston County, AL
CN0500100000000,5,1,2018,"9,070","8,762",308,3.4,Arkansas County, AR
CN0500300000000,5,3,2018,"7,683","7,263",420,5.5,Ashley County, AR
CN0500500000000,5,5,2018,"16,463","15,785",678,4.1,Baxter County, AR
CN0500700000000,5,7,2018,"134,404","130,532","3,872",2.9,Benton County, AR
CN0500900000000,5,9,2018,"15,856","15,295",561,3.5,Boone County, AR
CN0501100000000,5,11,2018,"4,362","4,166",196,4.5,Bradley County, AR
CN0501300000000,5,13,2018,"2,404","2,310",94,3.9,Calhoun County, AR
CN0501500000000,5,15,2018,"12,639","12,233",406,3.2,Carroll County, AR
CN0501700000000,5,17,2018,"3,340","3,110",230,6.9,Chicot County, AR
CN0501900000000,5,19,2018,"9,580","9,214",366,3.8,Clark County, AR
CN0502100000000,5,21,2018,"5,835","5,579",256,4.4,Clay County, AR
CN0502300000000,5,23,2018,"9,174","8,758",416,4.5,Cleburne County, AR
CN0502500000000,5,25,2018,"3,302","3,173",129,3.9,Cleveland County, AR
CN0502700000000,5,27,2018,"8,991","8,562",429,4.8,Columbia County, AR
CN0502900000000,5,29,2018,"8,198","7,840",358,4.4,Conway County, AR
CN0503100000000,5,31,2018,"54,120","52,462","1,658",3.1,Craighead County, AR
CN0503300000000,5,33,2018,"26,861","25,899",962,3.6,Crawford County, AR
CN0503500000000,5,35,2018,"21,467","20,542",925,4.3,Crittenden County, AR
CN0503700000000,5,37,2018,"7,441","7,131",310,4.2,Cross County, AR
CN0503900000000,5,39,2018,"2,811","2,687",124,4.4,Dallas County, AR
CN0504100000000,5,41,2018,"5,443","5,196",247,4.5,Desha County, AR
CN0504300000000,5,43,2018,"7,757","7,369",388,5,Drew County, AR
CN0504500000000,5,45,2018,"61,476","59,460","2,016",3.3,Faulkner County, AR
CN0504700000000,5,47,2018,"7,406","7,140",266,3.6,Franklin County, AR
CN0504900000000,5,49,2018,"4,805","4,613",192,4,Fulton County, AR
CN0505100000000,5,51,2018,"40,797","39,146","1,651",4,Garland County, AR
CN0505300000000,5,53,2018,"8,321","8,062",259,3.1,Grant County, AR
CN0505500000000,5,55,2018,"19,755","19,064",691,3.5,Greene County, AR
CN0505700000000,5,57,2018,"9,908","9,555",353,3.6,Hempstead County, AR
CN0505900000000,5,59,2018,"13,993","13,466",527,3.8,Hot Spring County, AR
CN0506100000000,5,61,2018,"5,922","5,717",205,3.5,Howard County, AR
CN0506300000000,5,63,2018,"16,222","15,560",662,4.1,Independence County, AR
CN0506500000000,5,65,2018,"4,869","4,599",270,5.5,Izard County, AR
CN0506700000000,5,67,2018,"5,786","5,430",356,6.2,Jackson County, AR
CN0506900000000,5,69,2018,"28,066","26,582","1,484",5.3,Jefferson County, AR
CN0507100000000,5,71,2018,"10,445","9,972",473,4.5,Johnson County, AR
CN0507300000000,5,73,2018,"2,497","2,366",131,5.2,Lafayette County, AR
CN0507500000000,5,75,2018,"6,858","6,589",269,3.9,Lawrence County, AR
CN0507700000000,5,77,2018,"2,917","2,776",141,4.8,Lee County, AR
CN0507900000000,5,79,2018,"4,041","3,867",174,4.3,Lincoln County, AR
CN0508100000000,5,81,2018,"5,485","5,196",289,5.3,Little River County, AR
CN0508300000000,5,83,2018,"8,749","8,396",353,4,Logan County, AR
CN0508500000000,5,85,2018,"33,853","32,766","1,087",3.2,Lonoke County, AR
CN0508700000000,5,87,2018,"7,426","7,213",213,2.9,Madison County, AR
CN0508900000000,5,89,2018,"6,506","6,237",269,4.1,Marion County, AR
CN0509100000000,5,91,2018,"19,722","18,772",950,4.8,Miller County, AR
CN0509300000000,5,93,2018,"17,510","16,515",995,5.7,Mississippi County, AR
CN0509500000000,5,95,2018,"2,746","2,627",119,4.3,Monroe County, AR
CN0509700000000,5,97,2018,"3,036","2,890",146,4.8,Montgomery County, AR
CN0509900000000,5,99,2018,"3,613","3,485",128,3.5,Nevada County, AR
CN0510100000000,5,101,2018,"3,312","3,200",112,3.4,Newton County, AR
CN0510300000000,5,103,2018,"9,755","9,301",454,4.7,Ouachita County, AR
CN0510500000000,5,105,2018,"4,248","4,071",177,4.2,Perry County, AR
CN0510700000000,5,107,2018,"6,608","6,202",406,6.1,Phillips County, AR
CN0510900000000,5,109,2018,"4,255","4,078",177,4.2,Pike County, AR
CN0511100000000,5,111,2018,"10,269","9,874",395,3.8,Poinsett County, AR
CN0511300000000,5,113,2018,"8,003","7,670",333,4.2,Polk County, AR
CN0511500000000,5,115,2018,"28,998","27,702","1,296",4.5,Pope County, AR
CN0511700000000,5,117,2018,"3,568","3,429",139,3.9,Prairie County, AR
CN0511900000000,5,119,2018,"189,210","182,612","6,598",3.5,Pulaski County, AR
CN0512100000000,5,121,2018,"7,175","6,890",285,4,Randolph County, AR
CN0512300000000,5,123,2018,"8,320","7,891",429,5.2,St. Francis County, AR
CN0512500000000,5,125,2018,"57,716","55,923","1,793",3.1,Saline County, AR
CN0512700000000,5,127,2018,"4,380","4,219",161,3.7,Scott County, AR
CN0512900000000,5,129,2018,"2,957","2,829",128,4.3,Searcy County, AR
CN0513100000000,5,131,2018,"57,075","55,032","2,043",3.6,Sebastian County, AR
CN0513300000000,5,133,2018,"5,549","5,290",259,4.7,Sevier County, AR
CN0513500000000,5,135,2018,"5,798","5,522",276,4.8,Sharp County, AR
CN0513700000000,5,137,2018,"4,801","4,583",218,4.5,Stone County, AR
CN0513900000000,5,139,2018,"15,960","15,074",886,5.6,Union County, AR
CN0514100000000,5,141,2018,"5,921","5,610",311,5.3,Van Buren County, AR
CN0514300000000,5,143,2018,"122,569","119,378","3,191",2.6,Washington County, AR
CN0514500000000,5,145,2018,"33,786","32,308","1,478",4.4,White County, AR
CN0514700000000,5,147,2018,"2,829","2,695",134,4.7,Woodruff County, AR
CN0514900000000,5,149,2018,"8,505","8,148",357,4.2,Yell County, AR
CN0400100000000,4,1,2018,"20,665","18,585","2,080",10.1,Apache County, AZ
CN0400300000000,4,3,2018,"49,774","46,985","2,789",5.6,Cochise County, AZ
CN0400500000000,4,5,2018,"77,083","72,850","4,233",5.5,Coconino County, AZ
CN0400700000000,4,7,2018,"21,518","20,251","1,267",5.9,Gila County, AZ
CN0400900000000,4,9,2018,"14,878","14,114",764,5.1,Graham County, AZ
CN0401100000000,4,11,2018,"4,280","4,098",182,4.3,Greenlee County, AZ
CN0401200000000,4,12,2018,"8,938","8,381",557,6.2,La Paz County, AZ
CN0401300000000,4,13,2018,"2,229,526","2,137,219","92,307",4.1,Maricopa County, AZ
CN0401500000000,4,15,2018,"85,442","80,508","4,934",5.8,Mohave County, AZ
CN0401700000000,4,17,2018,"40,598","37,447","3,151",7.8,Navajo County, AZ
CN0401900000000,4,19,2018,"486,261","464,433","21,828",4.5,Pima County, AZ
CN0402100000000,4,21,2018,"178,216","169,264","8,952",5,Pinal County, AZ
CN0402300000000,4,23,2018,"19,325","17,522","1,803",9.3,Santa Cruz County, AZ
CN0402500000000,4,25,2018,"105,618","100,899","4,719",4.5,Yavapai County, AZ
CN0402700000000,4,27,2018,"97,636","80,997","16,639",17,Yuma County, AZ
CN0600100000000,6,1,2018,"848,215","822,769","25,446",3,Alameda County, CA
CN0600300000000,6,3,2018,547,522,25,4.6,Alpine County, CA
CN0600500000000,6,5,2018,"14,706","14,117",589,4,Amador County, CA
CN0600700000000,6,7,2018,"102,712","97,619","5,093",5,Butte County, CA
CN0600900000000,6,9,2018,"21,351","20,506",845,4,Calaveras County, CA
CN0601100000000,6,11,2018,"10,969","9,551","1,418",12.9,Colusa County, CA
CN0601300000000,6,13,2018,"564,570","546,778","17,792",3.2,Contra Costa County, CA
CN0601500000000,6,15,2018,"9,961","9,412",549,5.5,Del Norte County, CA
CN0601700000000,6,17,2018,"91,589","88,319","3,270",3.6,El Dorado County, CA
CN0601900000000,6,19,2018,"448,353","414,926","33,427",7.5,Fresno County, CA
CN0602100000000,6,21,2018,"12,779","11,944",835,6.5,Glenn County, CA
CN0602300000000,6,23,2018,"63,027","60,782","2,245",3.6,Humboldt County, CA
CN0602500000000,6,25,2018,"71,055","58,200","12,855",18.1,Imperial County, CA
CN0602700000000,6,27,2018,"8,725","8,388",337,3.9,Inyo County, CA
CN0602900000000,6,29,2018,"386,997","356,132","30,865",8,Kern County, CA
CN0603100000000,6,31,2018,"57,865","53,384","4,481",7.7,Kings County, CA
CN0603300000000,6,33,2018,"29,116","27,594","1,522",5.2,Lake County, CA
CN0603500000000,6,35,2018,"9,899","9,425",474,4.8,Lassen County, CA
CN0603700000000,6,37,2018,"5,136,341","4,896,512","239,829",4.7,Los Angeles County, CA
CN0603900000000,6,39,2018,"61,528","57,212","4,316",7,Madera County, CA
CN0604100000000,6,41,2018,"141,111","137,748","3,363",2.4,Marin County, CA
CN0604300000000,6,43,2018,"7,663","7,257",406,5.3,Mariposa County, CA
CN0604500000000,6,45,2018,"39,715","38,151","1,564",3.9,Mendocino County, CA
CN0604700000000,6,47,2018,"115,408","105,834","9,574",8.3,Merced County, CA
CN0604900000000,6,49,2018,"3,179","2,939",240,7.5,Modoc County, CA
CN0605100000000,6,51,2018,"8,524","8,196",328,3.8,Mono County, CA
CN0605300000000,6,53,2018,"224,057","210,010","14,047",6.3,Monterey County, CA
CN0605500000000,6,55,2018,"74,547","72,366","2,181",2.9,Napa County, CA
CN0605700000000,6,57,2018,"48,870","47,176","1,694",3.5,Nevada County, CA
CN0605900000000,6,59,2018,"1,625,426","1,577,885","47,541",2.9,Orange County, CA
CN0606100000000,6,61,2018,"185,213","179,376","5,837",3.2,Placer County, CA
CN0606300000000,6,63,2018,"7,848","7,260",588,7.5,Plumas County, CA
CN0606500000000,6,65,2018,"1,092,371","1,044,563","47,808",4.4,Riverside County, CA
CN0606700000000,6,67,2018,"710,442","683,494","26,948",3.8,Sacramento County, CA
CN0606900000000,6,69,2018,"30,869","29,308","1,561",5.1,San Benito County, CA
CN0607100000000,6,71,2018,"961,030","922,251","38,779",4,San Bernardino County, CA
CN0607300000000,6,73,2018,"1,592,193","1,539,530","52,663",3.3,San Diego County, CA
CN0607500000000,6,75,2018,"575,567","562,022","13,545",2.4,San Francisco County/city, CA
CN0607700000000,6,77,2018,"326,387","306,816","19,571",6,San Joaquin County, CA
CN0607900000000,6,79,2018,"140,920","136,769","4,151",2.9,San Luis Obispo County, CA
CN0608100000000,6,81,2018,"454,875","444,868","10,007",2.2,San Mateo County, CA
CN0608300000000,6,83,2018,"216,698","208,261","8,437",3.9,Santa Barbara County, CA
CN0608500000000,6,85,2018,"1,048,804","1,021,522","27,282",2.6,Santa Clara County, CA
CN0608700000000,6,87,2018,"142,618","135,634","6,984",4.9,Santa Cruz County, CA
CN0608900000000,6,89,2018,"74,215","70,546","3,669",4.9,Shasta County, CA
CN0609100000000,6,91,2018,"1,278","1,201",77,6,Sierra County, CA
CN0609300000000,6,93,2018,"17,410","16,244","1,166",6.7,Siskiyou County, CA
CN0609500000000,6,95,2018,"209,721","201,553","8,168",3.9,Solano County, CA
CN0609700000000,6,97,2018,"262,348","255,161","7,187",2.7,Sonoma County, CA
CN0609900000000,6,99,2018,"243,538","227,940","15,598",6.4,Stanislaus County, CA
CN0610100000000,6,101,2018,"45,477","42,085","3,392",7.5,Sutter County, CA
CN0610300000000,6,103,2018,"25,626","24,176","1,450",5.7,Tehama County, CA
CN0610500000000,6,105,2018,"4,707","4,439",268,5.7,Trinity County, CA
CN0610700000000,6,107,2018,"204,589","184,940","19,649",9.6,Tulare County, CA
CN0610900000000,6,109,2018,"21,339","20,357",982,4.6,Tuolumne County, CA
CN0611100000000,6,111,2018,"425,728","409,662","16,066",3.8,Ventura County, CA
CN0611300000000,6,113,2018,"108,518","103,956","4,562",4.2,Yolo County, CA
CN0611500000000,6,115,2018,"29,078","27,215","1,863",6.4,Yuba County, CA
CN0800100000000,8,1,2018,"269,911","260,542","9,369",3.5,Adams County, CO
CN0800300000000,8,3,2018,"8,447","8,095",352,4.2,Alamosa County, CO
CN0800500000000,8,5,2018,"362,692","351,003","11,689",3.2,Arapahoe County, CO
CN0800700000000,8,7,2018,"6,928","6,692",236,3.4,Archuleta County, CO
CN0800900000000,8,9,2018,"2,229","2,188",41,1.8,Baca County, CO
CN0801100000000,8,11,2018,"2,017","1,953",64,3.2,Bent County, CO
CN0801300000000,8,13,2018,"193,822","188,303","5,519",2.8,Boulder County, CO
CN0801400000000,8,14,2018,"39,816","38,651","1,165",2.9,Broomfield County/city, CO
CN0801500000000,8,15,2018,"9,708","9,447",261,2.7,Chaffee County, CO
CN0801700000000,8,17,2018,"1,166","1,145",21,1.8,Cheyenne County, CO
CN0801900000000,8,19,2018,"6,075","5,891",184,3,Clear Creek County, CO
CN0802100000000,8,21,2018,"4,080","3,901",179,4.4,Conejos County, CO
CN0802300000000,8,23,2018,"1,910","1,828",82,4.3,Costilla County, CO
CN0802500000000,8,25,2018,"1,533","1,466",67,4.4,Crowley County, CO
CN0802700000000,8,27,2018,"2,106","2,029",77,3.7,Custer County, CO
CN0802900000000,8,29,2018,"14,851","14,266",585,3.9,Delta County, CO
CN0803100000000,8,31,2018,"412,817","399,671","13,146",3.2,Denver County/city, CO
CN0803300000000,8,33,2018,"1,197","1,163",34,2.8,Dolores County, CO
CN0803500000000,8,35,2018,"191,240","185,768","5,472",2.9,Douglas County, CO
CN0803700000000,8,37,2018,"36,207","35,218",989,2.7,Eagle County, CO
CN0803900000000,8,39,2018,"14,963","14,538",425,2.8,Elbert County, CO
CN0804100000000,8,41,2018,"337,084","323,816","13,268",3.9,El Paso County, CO
CN0804300000000,8,43,2018,"15,342","14,544",798,5.2,Fremont County, CO
CN0804500000000,8,45,2018,"32,479","31,436","1,043",3.2,Garfield County, CO
CN0804700000000,8,47,2018,"3,731","3,636",95,2.5,Gilpin County, CO
CN0804900000000,8,49,2018,"9,917","9,651",266,2.7,Grand County, CO
CN0805100000000,8,51,2018,"11,012","10,727",285,2.6,Gunnison County, CO
CN0805300000000,8,53,2018,459,447,12,2.6,Hinsdale County, CO
CN0805500000000,8,55,2018,"2,619","2,448",171,6.5,Huerfano County, CO
CN0805700000000,8,57,2018,"1,029","1,002",27,2.6,Jackson County, CO
CN0805900000000,8,59,2018,"334,242","324,124","10,118",3,Jefferson County, CO
CN0806100000000,8,61,2018,963,946,17,1.8,Kiowa County, CO
CN0806300000000,8,63,2018,"4,487","4,396",91,2,Kit Carson County, CO
CN0806500000000,8,65,2018,"4,894","4,765",129,2.6,Lake County, CO
CN0806700000000,8,67,2018,"32,091","31,120",971,3,La Plata County, CO
CN0806900000000,8,69,2018,"202,449","196,754","5,695",2.8,Larimer County, CO
CN0807100000000,8,71,2018,"6,572","6,261",311,4.7,Las Animas County, CO
CN0807300000000,8,73,2018,"2,494","2,433",61,2.4,Lincoln County, CO
CN0807500000000,8,75,2018,"11,287","10,958",329,2.9,Logan County, CO
CN0807700000000,8,77,2018,"76,060","72,949","3,111",4.1,Mesa County, CO
CN0807900000000,8,79,2018,507,494,13,2.6,Mineral County, CO
CN0808100000000,8,81,2018,"7,579","7,302",277,3.7,Moffat County, CO
CN0808300000000,8,83,2018,"13,338","12,706",632,4.7,Montezuma County, CO
CN0808500000000,8,85,2018,"21,941","21,136",805,3.7,Montrose County, CO
CN0808700000000,8,87,2018,"16,473","15,990",483,2.9,Morgan County, CO
CN0808900000000,8,89,2018,"8,635","8,205",430,5,Otero County, CO
CN0809100000000,8,91,2018,"2,400","2,316",84,3.5,Ouray County, CO
CN0809300000000,8,93,2018,"10,859","10,545",314,2.9,Park County, CO
CN0809500000000,8,95,2018,"2,693","2,642",51,1.9,Phillips County, CO
CN0809700000000,8,97,2018,"11,363","10,926",437,3.8,Pitkin County, CO
CN0809900000000,8,99,2018,"6,387","6,175",212,3.3,Prowers County, CO
CN0810100000000,8,101,2018,"75,912","72,186","3,726",4.9,Pueblo County, CO
CN0810300000000,8,103,2018,"2,854","2,727",127,4.4,Rio Blanco County, CO
CN0810500000000,8,105,2018,"5,643","5,370",273,4.8,Rio Grande County, CO
CN0810700000000,8,107,2018,"16,301","15,861",440,2.7,Routt County, CO
CN0810900000000,8,109,2018,"3,638","3,469",169,4.6,Saguache County, CO
CN0811100000000,8,111,2018,519,503,16,3.1,San Juan County, CO
CN0811300000000,8,113,2018,"5,520","5,326",194,3.5,San Miguel County, CO
CN0811500000000,8,115,2018,"1,253","1,221",32,2.6,Sedgwick County, CO
CN0811700000000,8,117,2018,"22,315","21,819",496,2.2,Summit County, CO
CN0811900000000,8,119,2018,"12,651","12,182",469,3.7,Teller County, CO
CN0812100000000,8,121,2018,"3,225","3,147",78,2.4,Washington County, CO
CN0812300000000,8,123,2018,"165,290","160,320","4,970",3,Weld County, CO
CN0812500000000,8,125,2018,"6,142","6,017",125,2,Yuma County, CO
CN0900100000000,9,1,2018,"480,767","461,750","19,017",4,Fairfield County, CT
CN0900300000000,9,3,2018,"480,319","459,939","20,380",4.2,Hartford County, CT
CN0900500000000,9,5,2018,"105,014","101,000","4,014",3.8,Litchfield County, CT
CN0900700000000,9,7,2018,"93,078","89,811","3,267",3.5,Middlesex County, CT
CN0900900000000,9,9,2018,"458,747","438,576","20,171",4.4,New Haven County, CT
CN0901100000000,9,11,2018,"137,463","132,032","5,431",4,New London County, CT
CN0901300000000,9,13,2018,"86,499","83,402","3,097",3.6,Tolland County, CT
CN0901500000000,9,15,2018,"63,426","60,560","2,866",4.5,Windham County, CT
CN1000100000000,10,1,2018,"78,124","74,885","3,239",4.1,Kent County, DE
CN1000300000000,10,3,2018,"298,915","287,977","10,938",3.7,New Castle County, DE
CN1000500000000,10,5,2018,"105,426","101,475","3,951",3.7,Sussex County, DE
CN1200100000000,12,1,2018,"137,339","132,846","4,493",3.3,Alachua County, FL
CN1200300000000,12,3,2018,"11,869","11,467",402,3.4,Baker County, FL
CN1200500000000,12,5,2018,"89,251","85,703","3,548",4,Bay County, FL
